SICSJ;CORPCAIXA\g cs7266 cc_regiao_captar;CORPCAIXA\g cs7266 cc_regiao_global_web;
SICTE;CORPCAIXA\g cs7266 cc_regiao_canais;CORPCAIXA\g cs7266 cc_regiao_stefanini;
SICRD;CORPCAIXA\g cs7266 cc_regiao_cartoes;CORPCAIXA\G CS7266 CC_REGIAO_SPREAD;
SICRA;CORPCAIXA\g cs7266 cc_regiao_cartoes;CORPCAIXA\g cs7266 cc_regiao_global_web;
SICXC;CORPCAIXA\g cs7266 cc_regiao_canais;CORPCAIXA\g cs7266 cc_regiao_stefanini;
SID00;CORPCAIXA\g cs7266 cc_regiao_infraestrutura;CORPCAIXA\g cs7266 cc_regiao_stefanini;
SICQW;CORPCAIXA\g cs7266 cc_regiao_canais;CORPCAIXA\G CS7266 CC_REGIAO_INDRA;
SID01;CORPCAIXA\g cs7266 cc_regiao_captar;CORPCAIXA\g cs7266 cc_regiao_stefanini;
SICUC;CORPCAIXA\g cs7266 cc_regiao_captar;CORPCAIXA\g cs7266 cc_regiao_stefanini;
SID04;CORPCAIXA\g cs7266 cc_regiao_captar;CORPCAIXA\g cs7266 cc_regiao_stefanini;
SID02;CORPCAIXA\g cs7266 cc_regiao_captar;CORPCAIXA\g cs7266 cc_regiao_stefanini;
SID07;CORPCAIXA\g cs7266 cc_regiao_captar;CORPCAIXA\g cs7266 cc_regiao_stefanini;
SID06;CORPCAIXA\g cs7266 cc_regiao_captar;CORPCAIXA\g cs7266 cc_regiao_stefanini;
SID03;CORPCAIXA\g cs7266 cc_regiao_captar;CORPCAIXA\g cs7266 cc_regiao_stefanini;
SID05;CORPCAIXA\g cs7266 cc_regiao_captar;CORPCAIXA\g cs7266 cc_regiao_stefanini;
SID08;CORPCAIXA\g cs7266 cc_regiao_captar;CORPCAIXA\g cs7266 cc_regiao_stefanini;
SID55;CORPCAIXA\g cs7266 cc_regiao_infraestrutura;CORPCAIXA\G CS7266 CC_REGIAO_FIRST_DECISION;
SID09;CORPCAIXA\g cs7266 cc_regiao_captar;CORPCAIXA\g cs7266 cc_regiao_stefanini;
SID49;CORPCAIXA\g cs7266 cc_regiao_captar;CORPCAIXA\g cs7266 cc_regiao_stefanini;
SIESC;CORPCAIXA\g cs7266 cc_regiao_infraestrutura;CORPCAIXA\G CS7266 CC_REGIAO_FIRST_DECISION;
SIDIM;CORPCAIXA\g cs7266 cc_regiao_infraestrutura;CORPCAIXA\G CS7266 CC_REGIAO_FIRST_DECISION;
SIECO;CORPCAIXA\g cs7266 cc_regiao_canais;CORPCAIXA\g cs7266 cc_regiao_foton;
SIDOC;CORPCAIXA\g cs7266 cc_regiao_servicos_bancarios;CORPCAIXA\g cs7266 cc_regiao_global_web;
SIDCN;CORPCAIXA\g cs7266 cc_regiao_canais;CORPCAIXA\g cs7266 cc_regiao_stefanini;
SIESP;CORPCAIXA\g cs7266 cc_regiao_back_office;CORPCAIXA\G CS7266 CC_REGIAO_CAST;
SIEMD;CORPCAIXA\g cs7266 cc_regiao_servicos_bancarios;CORPCAIXA\g cs7266 cc_regiao_global_web;
SIECP;CORPCAIXA\g cs7266 cc_regiao_cartoes;CORPCAIXA\g cs7266 cc_regiao_stefanini;
SIFIC;CORPCAIXA\g cs7266 cc_regiao_servicos_bancarios;CORPCAIXA\g cs7266 cc_regiao_msa_tty;
SIDDA;CORPCAIXA\g cs7266 cc_regiao_servicos_bancarios;CORPCAIXA\g cs7266 cc_regiao_global_web;
SIGBO;CORPCAIXA\g cs7266 cc_regiao_infraestrutura;CORPCAIXA\g cs7266 cc_regiao_stefanini;
SIDEM;CORPCAIXA\g cs7266 cc_regiao_back_office;CORPCAIXA\G CS7266 CC_REGIAO_CAST;
SIDMO;CORPCAIXA\g cs7266 cc_regiao_cartoes;CORPCAIXA\g cs7266 cc_regiao_stefanini;
SIFLX;CORPCAIXA\g cs7266 cc_regiao_canais;CORPCAIXA\g cs7266 cc_regiao_stefanini;
SIGBK;CORPCAIXA\g cs7266 cc_regiao_infraestrutura;CORPCAIXA\G CS7266 CC_REGIAO_FIRST_DECISION;
SIEXC;CORPCAIXA\G CS7266 CC_REGIAO_FINANCEIRO;CORPCAIXA\G CS7266 CC_REGIAO_TREE;
SIGDB;CORPCAIXA\g cs7266 cc_regiao_servicos_bancarios;CORPCAIXA\G CS7266 CC_REGIAO_CAST;
SIFMP;CORPCAIXA\G CS7266 CC_REGIAO_FINANCEIRO;CORPCAIXA\G CS7266 CC_REGIAO_CAST;
SIGCB_ECOBRANÇA;CORPCAIXA\g cs7266 cc_regiao_servicos_bancarios;CORPCAIXA\g cs7266 cc_regiao_global_web;
SIGCB;CORPCAIXA\g cs7266 cc_regiao_servicos_bancarios;CORPCAIXA\g cs7266 cc_regiao_global_web;
SIGDI;CORPCAIXA\g cs7266 cc_regiao_servicos_bancarios;CORPCAIXA\g cs7266 cc_regiao_msa_tty;
SIGFA;CORPCAIXA\G CS7266 CC_REGIAO_FINANCEIRO;CORPCAIXA\G CS7266 CC_REGIAO_TTY_SP;
SIGSR;CORPCAIXA\g cs7266 cc_regiao_canais;CORPCAIXA\G CS7266 CC_REGIAO_MAGNA;
SIGTR;CORPCAIXA\g cs7266 cc_regiao_canais;CORPCAIXA\g cs7266 cc_regiao_stefanini;
SIGDF;CORPCAIXA\G CS7266 CC_REGIAO_FINANCEIRO;CORPCAIXA\G CS7266 CC_REGIAO_CAST;
